序号,系统时间,时间标识,CAN通道,传输方向,ID号,帧类型,帧格式,长度,数据
500380,="11:17:37.634",0xB67834,ch1,接收,0x0C19A7A1,数据帧,扩展帧,0x08,x| 00 00 00 AA 00 00 00 00 
500381,="11:17:37.634",0xB6783E,ch1,接收,0x0C06A1A7,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 00 
500382,="11:17:37.634",0xB67852,ch1,接收,0x0C01A2A7,数据帧,扩展帧,0x08,x| 00 7D 92 00 7D 8F 00 EC 
500383,="11:17:37.634",0xB6786A,ch1,接收,0x0C02A2A7,数据帧,扩展帧,0x08,x| 68 33 00 7D 55 55 AA 00 
500384,="11:17:37.634",0xB67879,ch1,接收,0x0C01F4A7,数据帧,扩展帧,0x08,x| 00 00 00 00 00 00 00 F6 
500385,="11:17:37.664",0xB678C9,ch1,接收,0x0C03A1A7,数据帧,扩展帧,0x08,x| 68 33 8E 26 F0 18 62 50 
500386,="11:17:37.664",0xB678E3,ch1,接收,0x0C04A1A7,数据帧,扩展帧,0x08,x| 83 03 5C 00 00 02 01 F6 
500387,="11:17:37.664",0xB678F3,ch1,接收,0x0C05A1A7,数据帧,扩展帧,0x08,x| 09 10 4B 80 28 00 28 00 
500388,="11:17:37.664",0xB67905,ch1,接收,0x0C06A1A7,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 00 
500389,="11:17:37.664",0xB6791A,ch1,接收,0x0C01A2A7,数据帧,扩展帧,0x08,x| 00 7D 92 00 7D 8F 00 ED 
500390,="11:17:37.664",0xB67932,ch1,接收,0x0C02A2A7,数据帧,扩展帧,0x08,x| 68 33 00 7D 55 55 AA 00 
500391,="11:17:37.664",0xB67940,ch1,接收,0x0C08A79A,数据帧,扩展帧,0x08,x| 9D 27 12 28 5E 33 4B 80 
500392,="11:17:37.664",0xB67990,ch1,接收,0x0C03A1A7,数据帧,扩展帧,0x08,x| 68 33 84 26 EE 18 62 50 
500393,="11:17:37.664",0xB6799F,ch1,接收,0x1819D0F3,数据帧,扩展帧,0x08,x| 00 2D 20 35 00 54 28 45 
500394,="11:17:37.664",0xB679A4,ch1,接收,0x181AD0F3,数据帧,扩展帧,0x08,x| 00 00 FF FF 56 28 53 28 
500395,="11:17:37.664",0xB679AA,ch1,接收,0x18FF98D2,数据帧,扩展帧,0x08,x| 1F 42 42 42 42 42 41 E0 
500396,="11:17:37.664",0xB679B0,ch1,接收,0x0C04A1A7,数据帧,扩展帧,0x08,x| 83 03 5C 00 00 02 01 F7 
500397,="11:17:37.664",0xB679B5,ch1,接收,0x18FF9AD2,数据帧,扩展帧,0x08,x| 00 8B 7C 32 0C E6 00 FF 
500398,="11:17:37.664",0xB679BB,ch1,接收,0x18FF9CD2,数据帧,扩展帧,0x08,x| 03 00 00 FF FF FF FF FC 
500399,="11:17:37.694",0xB679C0,ch1,接收,0x0C05A1A7,数据帧,扩展帧,0x08,x| 09 10 4B 80 28 00 28 00 
500400,="11:17:37.694",0xB679CD,ch1,接收,0x0C06A1A7,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 00 
500401,="11:17:37.694",0xB679E1,ch1,接收,0x0C01A2A7,数据帧,扩展帧,0x08,x| 00 7D 92 00 7D 8F 00 EE 
500402,="11:17:37.694",0xB679FA,ch1,接收,0x0C02A2A7,数据帧,扩展帧,0x08,x| 68 33 00 7D 55 55 AA 00 
500403,="11:17:37.694",0xB67A08,ch1,接收,0x0C07A1A7,数据帧,扩展帧,0x08,x| 56 0C 56 0C AA 00 00 00 
500404,="11:17:37.694",0xB67A58,ch1,接收,0x0C03A1A7,数据帧,扩展帧,0x08,x| 68 33 8E 26 EC 18 62 50 
500405,="11:17:37.694",0xB67A73,ch1,接收,0x0C04A1A7,数据帧,扩展帧,0x08,x| 83 03 5C 00 00 02 01 F8 
500406,="11:17:37.694",0xB67A83,ch1,接收,0x0C05A1A7,数据帧,扩展帧,0x08,x| 09 10 4B 80 28 00 28 00 
500407,="11:17:37.694",0xB67A95,ch1,接收,0x0C06A1A7,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 00 
500408,="11:17:37.694",0xB67AA9,ch1,接收,0x0C01A2A7,数据帧,扩展帧,0x08,x| 00 7D 92 00 7D 8F 00 EF 
500409,="11:17:37.694",0xB67AC2,ch1,接收,0x0C02A2A7,数据帧,扩展帧,0x08,x| 68 33 00 7D 55 55 AA 00 
500410,="11:17:37.694",0xB67AD0,ch1,接收,0x18EF3010,数据帧,扩展帧,0x08,x| 78 00 01 00 00 00 00 00 
500411,="11:17:37.724",0xB67B20,ch1,接收,0x0C03A1A7,数据帧,扩展帧,0x08,x| 68 33 8E 26 E8 18 62 50 
500412,="11:17:37.724",0xB67B3B,ch1,接收,0x0C04A1A7,数据帧,扩展帧,0x08,x| 83 03 5C 00 00 02 01 F9 
500413,="11:17:37.724",0xB67B4B,ch1,接收,0x0C05A1A7,数据帧,扩展帧,0x08,x| 09 10 4B 80 28 00 28 00 
500414,="11:17:37.724",0xB67B5D,ch1,接收,0x0C06A1A7,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 00 
500415,="11:17:37.724",0xB67B71,ch1,接收,0x0C01A2A7,数据帧,扩展帧,0x08,x| 00 7D 92 00 7D 8F 00 F0 
500416,="11:17:37.724",0xB67B89,ch1,接收,0x0C02A2A7,数据帧,扩展帧,0x08,x| 68 33 00 7D 55 55 AA 00 
500417,="11:17:37.724",0xB67B91,ch1,接收,0x1818D0F3,数据帧,扩展帧,0x08,x| 42 33 9B 26 E6 00 00 42 
500418,="11:17:37.724",0xB67B97,ch1,接收,0x18FF97D2,数据帧,扩展帧,0x08,x| 5B 15 15 18 15 14 15 A4 
500419,="11:17:37.724",0xB67B9C,ch1,接收,0x180190A7,数据帧,扩展帧,0x08,x| 00 00 00 00 00 00 00 00 
500420,="11:17:37.724",0xB67BA2,ch1,接收,0x18FF9CD2,数据帧,扩展帧,0x08,x| 04 00 00 FF FF FF FF FB 
500421,="11:17:37.724",0xB67BA8,ch1,接收,0x18FF99D2,数据帧,扩展帧,0x08,x| 55 00 00 00 00 00 00 AA 
500422,="11:17:37.724",0xB67BE8,ch1,接收,0x0C03A1A7,数据帧,扩展帧,0x08,x| 68 33 8E 26 E8 18 62 50 
500423,="11:17:37.724",0xB67C02,ch1,接收,0x0C04A1A7,数据帧,扩展帧,0x08,x| 83 03 5C 00 00 02 01 FA 
500424,="11:17:37.724",0xB67C11,ch1,接收,0x0C05A1A7,数据帧,扩展帧,0x08,x| 09 10 4B 80 28 00 28 00 
500425,="11:17:37.754",0xB67C19,ch1,接收,0x0C19A7A1,数据帧,扩展帧,0x08,x| 00 00 00 AA 00 00 00 00 
500426,="11:17:37.754",0xB67C25,ch1,接收,0x0C06A1A7,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 00 
500427,="11:17:37.754",0xB67C39,ch1,接收,0x0C01A2A7,数据帧,扩展帧,0x08,x| 00 7D 92 00 7D 8F 00 F1 
500428,="11:17:37.754",0xB67C51,ch1,接收,0x0C02A2A7,数据帧,扩展帧,0x08,x| 68 33 00 7D 55 55 AA 00 
500429,="11:17:37.754",0xB67C60,ch1,接收,0x0C01F4A7,数据帧,扩展帧,0x08,x| 00 00 00 00 00 00 00 FB 
500430,="11:17:37.754",0xB67CAF,ch1,接收,0x0C03A1A7,数据帧,扩展帧,0x08,x| 68 33 84 26 E6 18 62 50 
500431,="11:17:37.754",0xB67CCA,ch1,接收,0x0C04A1A7,数据帧,扩展帧,0x08,x| 83 03 5C 00 00 02 01 FB 
500432,="11:17:37.754",0xB67CD9,ch1,接收,0x0C05A1A7,数据帧,扩展帧,0x08,x| 09 10 4B 80 28 00 28 00 
500433,="11:17:37.754",0xB67CED,ch1,接收,0x0C06A1A7,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 00 
500434,="11:17:37.754",0xB67D00,ch1,接收,0x0C01A2A7,数据帧,扩展帧,0x08,x| 00 7D 92 00 7D 8F 00 F2 
500435,="11:17:37.754",0xB67D19,ch1,接收,0x0C02A2A7,数据帧,扩展帧,0x08,x| 68 33 00 7D 55 55 AA 00 
500436,="11:17:37.754",0xB67D27,ch1,接收,0x0C08A79A,数据帧,扩展帧,0x08,x| 9D 27 FD 27 59 33 4B 80 
500437,="11:17:37.784",0xB67D77,ch1,接收,0x0C03A1A7,数据帧,扩展帧,0x08,x| 68 33 8E 26 E2 18 62 50 
500438,="11:17:37.784",0xB67D8B,ch1,接收,0x1819D0F3,数据帧,扩展帧,0x08,x| 00 2D 20 35 00 54 28 45 
500439,="11:17:37.784",0xB67D92,ch1,接收,0x0C04A1A7,数据帧,扩展帧,0x08,x| 83 03 5C 00 00 02 01 FC 
500440,="11:17:37.784",0xB67D97,ch1,接收,0x181AD0F3,数据帧,扩展帧,0x08,x| 00 00 FF FF 56 28 53 28 
500441,="11:17:37.784",0xB67D9D,ch1,接收,0x18FF98D2,数据帧,扩展帧,0x08,x| 25 42 FF FF FF FF FF DA 
500442,="11:17:37.784",0xB67DA3,ch1,接收,0x0C05A1A7,数据帧,扩展帧,0x08,x| 09 10 4B 80 28 00 28 00 
500443,="11:17:37.784",0xB67DA8,ch1,接收,0x18FF9AD2,数据帧,扩展帧,0x08,x| 00 8C 7C 32 0C E6 00 FF 
500444,="11:17:37.784",0xB67DB2,ch1,接收,0x18FF9CD2,数据帧,扩展帧,0x08,x| 05 00 00 FF FF FF FF FA 
500445,="11:17:37.784",0xB67DB8,ch1,接收,0x0C06A1A7,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 00 
500446,="11:17:37.784",0xB67DC8,ch1,接收,0x0C01A2A7,数据帧,扩展帧,0x08,x| 00 7D 92 00 7D 8F 00 F3 
500447,="11:17:37.784",0xB67DE1,ch1,接收,0x0C02A2A7,数据帧,扩展帧,0x08,x| 68 33 00 7D 55 55 AA 00 
500448,="11:17:37.784",0xB67DEF,ch1,接收,0x0C07A1A7,数据帧,扩展帧,0x08,x| 56 0C 56 0C AA 00 00 00 
500449,="11:17:37.784",0xB67E3F,ch1,接收,0x0C03A1A7,数据帧,扩展帧,0x08,x| 68 33 8E 26 DC 18 62 50 
500450,="11:17:37.784",0xB67E59,ch1,接收,0x0C04A1A7,数据帧,扩展帧,0x08,x| 83 03 5C 00 00 02 01 FD 
500451,="11:17:37.784",0xB67E69,ch1,接收,0x0C05A1A7,数据帧,扩展帧,0x08,x| 09 10 4B 80 28 00 28 00 
500452,="11:17:37.814",0xB67E7D,ch1,接收,0x0C06A1A7,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 00 
500453,="11:17:37.814",0xB67E91,ch1,接收,0x0C01A2A7,数据帧,扩展帧,0x08,x| 00 7D 92 00 7D 8F 00 F4 
500454,="11:17:37.814",0xB67EA8,ch1,接收,0x0C02A2A7,数据帧,扩展帧,0x08,x| 68 33 00 7D 55 55 AA 00 
500455,="11:17:37.814",0xB67EB7,ch1,接收,0x18EF3010,数据帧,扩展帧,0x08,x| 78 00 01 00 00 00 00 00 
500456,="11:17:37.814",0xB67F07,ch1,接收,0x0C03A1A7,数据帧,扩展帧,0x08,x| 68 33 8E 26 DC 18 62 50 
500457,="11:17:37.814",0xB67F21,ch1,接收,0x0C04A1A7,数据帧,扩展帧,0x08,x| 83 03 5C 00 00 02 01 FE 
500458,="11:17:37.814",0xB67F30,ch1,接收,0x0C05A1A7,数据帧,扩展帧,0x08,x| 09 10 4A 80 28 00 28 00 
500459,="11:17:37.814",0xB67F44,ch1,接收,0x0C06A1A7,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 00 
500460,="11:17:37.814",0xB67F58,ch1,接收,0x0C01A2A7,数据帧,扩展帧,0x08,x| 00 7D 92 00 7D 8F 00 F5 
500461,="11:17:37.814",0xB67F70,ch1,接收,0x0C02A2A7,数据帧,扩展帧,0x08,x| 68 33 00 7D 55 55 AA 00 
500462,="11:17:37.814",0xB67F7F,ch1,接收,0x180190A7,数据帧,扩展帧,0x08,x| 00 00 00 00 00 00 00 00 
500463,="11:17:37.814",0xB67F87,ch1,接收,0x1807E5F4,数据帧,扩展帧,0x08,x| 0D B0 00 C8 01 FF FF FF 
500464,="11:17:37.814",0xB67F8D,ch1,接收,0x1818D0F3,数据帧,扩展帧,0x08,x| 42 33 9F 26 E6 00 00 42 
500465,="11:17:37.814",0xB67F92,ch1,接收,0x18FF97D2,数据帧,扩展帧,0x08,x| 5E 16 15 14 15 17 15 A1 
500466,="11:17:37.844",0xB67F98,ch1,接收,0x18FF99D2,数据帧,扩展帧,0x08,x| 5B 00 00 00 00 00 00 A4 
500467,="11:17:37.844",0xB67F9E,ch1,接收,0x18FF9CD2,数据帧,扩展帧,0x08,x| 06 00 00 FF FF FF FF F9 
500468,="11:17:37.844",0xB67FCE,ch1,接收,0x0C03A1A7,数据帧,扩展帧,0x08,x| 68 33 8E 26 DA 18 62 50 
500469,="11:17:37.844",0xB67FE9,ch1,接收,0x0C04A1A7,数据帧,扩展帧,0x08,x| 83 03 5C 00 00 02 01 FF 
500470,="11:17:37.844",0xB67FF8,ch1,接收,0x0C05A1A7,数据帧,扩展帧,0x08,x| 09 10 4A 80 28 00 28 00 
500471,="11:17:37.844",0xB67FFE,ch1,接收,0x0C19A7A1,数据帧,扩展帧,0x08,x| 00 00 00 AA 00 00 00 00 
500472,="11:17:37.844",0xB6800B,ch1,接收,0x0C06A1A7,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 00 
500473,="11:17:37.844",0xB68021,ch1,接收,0x0C01A2A7,数据帧,扩展帧,0x08,x| 00 7D 92 00 7D 8F 00 F6 
500474,="11:17:37.844",0xB68038,ch1,接收,0x0C02A2A7,数据帧,扩展帧,0x08,x| 68 33 00 7D 55 55 AA 00 
500475,="11:17:37.844",0xB68047,ch1,接收,0x0C01F4A7,数据帧,扩展帧,0x08,x| 00 00 00 00 00 00 00 00 
500476,="11:17:37.844",0xB68096,ch1,接收,0x0C03A1A7,数据帧,扩展帧,0x08,x| 68 33 8E 26 D6 18 62 50 
500477,="11:17:37.844",0xB680B1,ch1,接收,0x0C04A1A7,数据帧,扩展帧,0x08,x| 83 03 5C 00 00 02 01 00 
500478,="11:17:37.844",0xB680C0,ch1,接收,0x0C05A1A7,数据帧,扩展帧,0x08,x| 09 10 4A 80 28 00 28 00 
500479,="11:17:37.874",0xB680D3,ch1,接收,0x0C06A1A7,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 00 
500480,="11:17:37.874",0xB680E8,ch1,接收,0x0C01A2A7,数据帧,扩展帧,0x08,x| 00 7D 92 00 7D 8F 00 F7 
500481,="11:17:37.874",0xB68100,ch1,接收,0x0C02A2A7,数据帧,扩展帧,0x08,x| 68 33 00 7D 55 55 AA 00 
500482,="11:17:37.874",0xB6810E,ch1,接收,0x0C08A79A,数据帧,扩展帧,0x08,x| 9C 27 F2 27 5E 33 4A 80 
500483,="11:17:37.874",0xB6815E,ch1,接收,0x0C03A1A7,数据帧,扩展帧,0x08,x| 68 33 98 26 D0 18 62 50 
500484,="11:17:37.874",0xB68179,ch1,接收,0x0C04A1A7,数据帧,扩展帧,0x08,x| 83 03 5C 00 00 02 01 01 
500485,="11:17:37.874",0xB6817E,ch1,接收,0x18FF98D2,数据帧,扩展帧,0x08,x| 01 41 42 42 42 42 42 FE 
500486,="11:17:37.874",0xB68184,ch1,接收,0x181AD0F3,数据帧,扩展帧,0x08,x| 01 00 FF FF 56 28 53 28 
500487,="11:17:37.874",0xB68189,ch1,接收,0x0C05A1A7,数据帧,扩展帧,0x08,x| 09 10 4A 80 28 00 28 00 
500488,="11:17:37.874",0xB6818F,ch1,接收,0x18FF9AD2,数据帧,扩展帧,0x08,x| 00 92 7C 32 0C E6 00 FF 
500489,="11:17:37.874",0xB68195,ch1,接收,0x18FF9CD2,数据帧,扩展帧,0x08,x| 07 00 00 FF FF FF FF F8 
500490,="11:17:37.874",0xB6819A,ch1,接收,0x1819D0F3,数据帧,扩展帧,0x08,x| 00 2D 20 35 00 54 28 44 
500491,="11:17:37.874",0xB681A0,ch1,接收,0x0C06A1A7,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 00 
500492,="11:17:37.874",0xB681A5,ch1,接收,0x18FF9AD2,数据帧,扩展帧,0x08,x| 00 92 7C 32 0C E6 00 FF 
500493,="11:17:37.874",0xB681AB,ch1,接收,0x18FF9AD2,数据帧,扩展帧,0x08,x| 02 44 09 02 00 00 00 FD 
500494,="11:17:37.874",0xB681B1,ch1,接收,0x0C01A2A7,数据帧,扩展帧,0x08,x| 00 7D 92 00 7D 8F 00 F8 
500495,="11:17:37.874",0xB681B6,ch1,接收,0x18FF9AD2,数据帧,扩展帧,0x08,x| 04 01 00 FF FF 60 25 FB 
500496,="11:17:37.874",0xB681BC,ch1,接收,0x18FF9AD2,数据帧,扩展帧,0x08,x| 03 03 02 2B 13 CA 14 FC 
500497,="11:17:37.874",0xB681C2,ch1,接收,0x18FF9AD2,数据帧,扩展帧,0x08,x| 05 23 07 06 05 40 01 FA 
500498,="11:17:37.874",0xB681C7,ch1,接收,0x18FF9AD2,数据帧,扩展帧,0x08,x| 01 19 15 1F 0F 15 1B FE 
500499,="11:17:37.874",0xB681CD,ch1,接收,0x0C02A2A7,数据帧,扩展帧,0x08,x| 68 33 00 7D 55 55 AA 00 
500500,="11:17:37.874",0xB681D2,ch1,接收,0x18FF9AD2,数据帧,扩展帧,0x08,x| 08 01 01 B0 0A 10 0E F7 
500501,="11:17:37.874",0xB681D8,ch1,接收,0x0C07A1A7,数据帧,扩展帧,0x08,x| 56 0C 56 0C AA 00 00 00 
500502,="11:17:37.874",0xB681DD,ch1,接收,0x18FF9AD2,数据帧,扩展帧,0x08,x| 09 FA 00 00 00 00 00 F6 
500503,="11:17:37.874",0xB681E3,ch1,接收,0x18FF9AD2,数据帧,扩展帧,0x08,x| 06 0B 23 28 1E 3C 41 F9 
500504,="11:17:37.874",0xB681E8,ch1,接收,0x18FF9AD2,数据帧,扩展帧,0x08,x| 07 1D 01 00 00 F4 01 F8 
500505,="11:17:37.904",0xB68226,ch1,接收,0x0C03A1A7,数据帧,扩展帧,0x08,x| 68 33 8E 26 CE 18 62 50 
500506,="11:17:37.904",0xB68240,ch1,接收,0x0C04A1A7,数据帧,扩展帧,0x08,x| 83 03 5C 00 00 02 01 02 
500507,="11:17:37.904",0xB68250,ch1,接收,0x0C05A1A7,数据帧,扩展帧,0x08,x| 09 10 4A 80 28 00 28 00 
500508,="11:17:37.904",0xB68262,ch1,接收,0x0C06A1A7,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 00 
500509,="11:17:37.904",0xB68277,ch1,接收,0x0C01A2A7,数据帧,扩展帧,0x08,x| 00 7D 92 00 7D 8F 00 F9 
500510,="11:17:37.904",0xB68290,ch1,接收,0x0C02A2A7,数据帧,扩展帧,0x08,x| 68 33 00 7D 55 55 AA 00 
500511,="11:17:37.904",0xB6829E,ch1,接收,0x18EF3010,数据帧,扩展帧,0x08,x| 78 00 01 00 00 00 00 00 
500512,="11:17:37.904",0xB682EE,ch1,接收,0x0C03A1A7,数据帧,扩展帧,0x08,x| 68 33 8E 26 D0 18 62 50 
500513,="11:17:37.904",0xB68308,ch1,接收,0x0C04A1A7,数据帧,扩展帧,0x08,x| 83 03 5C 00 00 02 01 03 
500514,="11:17:37.904",0xB68317,ch1,接收,0x0C05A1A7,数据帧,扩展帧,0x08,x| 09 10 4B 80 28 00 28 00 
500515,="11:17:37.934",0xB6832A,ch1,接收,0x0C06A1A7,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 00 
500516,="11:17:37.934",0xB6833F,ch1,接收,0x0C01A2A7,数据帧,扩展帧,0x08,x| 00 7D 92 00 7D 8F 00 FA 
500517,="11:17:37.934",0xB68358,ch1,接收,0x0C02A2A7,数据帧,扩展帧,0x08,x| 68 33 00 7D 55 55 AA 00 
500518,="11:17:37.934",0xB68366,ch1,接收,0x180190A7,数据帧,扩展帧,0x08,x| 00 00 00 00 00 00 00 00 
500519,="11:17:37.934",0xB6836B,ch1,接收,0x1818D0F3,数据帧,扩展帧,0x08,x| 42 33 A3 26 E6 00 00 42 
500520,="11:17:37.934",0xB68370,ch1,接收,0x18FF97D2,数据帧,扩展帧,0x08,x| 01 13 0D 13 0D 15 0D FE 
500521,="11:17:37.934",0xB68376,ch1,接收,0x18FF99D2,数据帧,扩展帧,0x08,x| 01 00 00 00 00 00 00 FE 
500522,="11:17:37.934",0xB6837C,ch1,接收,0x18FF9CD2,数据帧,扩展帧,0x08,x| 08 00 00 FF FF FF FF F7 
500523,="11:17:37.934",0xB683B5,ch1,接收,0x0C03A1A7,数据帧,扩展帧,0x08,x| 68 33 8E 26 CE 18 62 50 
500524,="11:17:37.934",0xB683D0,ch1,接收,0x0C04A1A7,数据帧,扩展帧,0x08,x| 83 03 5C 00 00 02 01 04 
500525,="11:17:37.934",0xB683DF,ch1,接收,0x0C05A1A7,数据帧,扩展帧,0x08,x| 09 10 4B 80 28 00 28 00 
500526,="11:17:37.934",0xB683E6,ch1,接收,0x0C19A7A1,数据帧,扩展帧,0x08,x| 00 00 00 AA 00 00 00 00 
500527,="11:17:37.934",0xB683F2,ch1,接收,0x0C06A1A7,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 00 
500528,="11:17:37.934",0xB68406,ch1,接收,0x0C01A2A7,数据帧,扩展帧,0x08,x| 00 7D 92 00 7D 8F 00 FB 
500529,="11:17:37.934",0xB68420,ch1,接收,0x0C02A2A7,数据帧,扩展帧,0x08,x| 68 33 00 7D 55 55 AA 00 
500530,="11:17:37.934",0xB6842D,ch1,接收,0x0C01F4A7,数据帧,扩展帧,0x08,x| 00 00 00 00 00 00 00 05 
500531,="11:17:37.964",0xB6847D,ch1,接收,0x0C03A1A7,数据帧,扩展帧,0x08,x| 68 33 8E 26 CA 18 62 50 
500532,="11:17:37.964",0xB68497,ch1,接收,0x0C04A1A7,数据帧,扩展帧,0x08,x| 83 03 5C 00 00 02 01 05 
500533,="11:17:37.964",0xB684A7,ch1,接收,0x0C05A1A7,数据帧,扩展帧,0x08,x| 09 10 4B 80 28 00 28 00 
500534,="11:17:37.964",0xB684BA,ch1,接收,0x0C06A1A7,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 00 
500535,="11:17:37.964",0xB684CE,ch1,接收,0x0C01A2A7,数据帧,扩展帧,0x08,x| 00 7D 92 00 7D 8F 00 FC 
500536,="11:17:37.964",0xB684E7,ch1,接收,0x0C02A2A7,数据帧,扩展帧,0x08,x| 68 33 00 7D 55 55 AA 00 
500537,="11:17:37.964",0xB684F5,ch1,接收,0x0C08A79A,数据帧,扩展帧,0x08,x| 9D 27 0D 28 59 33 4B 80 
500538,="11:17:37.964",0xB68545,ch1,接收,0x0C03A1A7,数据帧,扩展帧,0x08,x| 68 33 8E 26 C6 18 62 50 
500539,="11:17:37.964",0xB6855F,ch1,接收,0x0C04A1A7,数据帧,扩展帧,0x08,x| 83 03 5C 00 00 02 01 06 
500540,="11:17:37.964",0xB68565,ch1,接收,0x181AD0F3,数据帧,扩展帧,0x08,x| 01 00 FF FF 56 28 53 28 
500541,="11:17:37.964",0xB6856B,ch1,接收,0x180228F4,数据帧,扩展帧,0x08,x| 1B 41 1C 41 FF FF FF FF 
500542,="11:17:37.964",0xB68570,ch1,接收,0x0C05A1A7,数据帧,扩展帧,0x08,x| 09 10 4B 80 28 00 28 00 
500543,="11:17:37.994",0xB68576,ch1,接收,0x18FF98D2,数据帧,扩展帧,0x08,x| 07 41 41 41 41 41 41 F8 
500544,="11:17:37.994",0xB6857B,ch1,接收,0x18FF9AD2,数据帧,扩展帧,0x08,x| 00 94 7C 32 0C E6 00 FF 
500545,="11:17:37.994",0xB68581,ch1,接收,0x1819D0F3,数据帧,扩展帧,0x08,x| 00 2D 20 35 00 54 28 44 
500546,="11:17:37.994",0xB68587,ch1,接收,0x0C06A1A7,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 00 
500547,="11:17:37.994",0xB6858C,ch1,接收,0x18FF9CD2,数据帧,扩展帧,0x08,x| 09 00 00 FF FF FF FF F6 
500548,="11:17:37.994",0xB68596,ch1,接收,0x0C01A2A7,数据帧,扩展帧,0x08,x| 00 7D 92 00 7D 8F 00 FD 
500549,="11:17:37.994",0xB685AE,ch1,接收,0x0C02A2A7,数据帧,扩展帧,0x08,x| 68 33 00 7D 55 55 AA 00 
500550,="11:17:37.994",0xB685BD,ch1,接收,0x0C07A1A7,数据帧,扩展帧,0x08,x| 56 0C 56 0C AA 00 00 00 
500551,="11:17:37.994",0xB6860D,ch1,接收,0x0C03A1A7,数据帧,扩展帧,0x08,x| 68 33 98 26 C4 18 62 50 
500552,="11:17:37.994",0xB68628,ch1,接收,0x0C04A1A7,数据帧,扩展帧,0x08,x| 83 03 5C 00 00 02 01 07 
500553,="11:17:37.994",0xB68636,ch1,接收,0x0C05A1A7,数据帧,扩展帧,0x08,x| 09 10 4B 80 28 00 28 00 
500554,="11:17:37.994",0xB68649,ch1,接收,0x0C06A1A7,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 00 
500555,="11:17:37.994",0xB6865E,ch1,接收,0x0C01A2A7,数据帧,扩展帧,0x08,x| 00 7D 92 00 7D 8F 00 FE 
500556,="11:17:37.994",0xB68676,ch1,接收,0x0C02A2A7,数据帧,扩展帧,0x08,x| 68 33 00 7D 55 55 AA 00 
500557,="11:17:37.994",0xB68685,ch1,接收,0x18EF3010,数据帧,扩展帧,0x08,x| 78 00 01 00 00 00 00 00 
500558,="11:17:38.024",0xB686D4,ch1,接收,0x0C03A1A7,数据帧,扩展帧,0x08,x| 68 33 8E 26 C4 18 62 50 
500559,="11:17:38.024",0xB686EF,ch1,接收,0x0C04A1A7,数据帧,扩展帧,0x08,x| 83 03 5C 00 00 02 01 08 
500560,="11:17:38.024",0xB686FE,ch1,接收,0x0C05A1A7,数据帧,扩展帧,0x08,x| 09 10 4B 80 28 00 28 00 
500561,="11:17:38.024",0xB68711,ch1,接收,0x0C06A1A7,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 00 
500562,="11:17:38.024",0xB68725,ch1,接收,0x0C01A2A7,数据帧,扩展帧,0x08,x| 00 7D 92 00 7D 8F 00 FF 
500563,="11:17:38.024",0xB6873E,ch1,接收,0x0C02A2A7,数据帧,扩展帧,0x08,x| 68 33 00 7D 55 55 AA 00 
500564,="11:17:38.024",0xB6874C,ch1,接收,0x180190A7,数据帧,扩展帧,0x08,x| 00 00 00 00 00 00 00 00 
500565,="11:17:38.024",0xB68759,ch1,接收,0x1818D0F3,数据帧,扩展帧,0x08,x| 42 33 A6 26 E6 00 00 42 
500566,="11:17:38.024",0xB6875E,ch1,接收,0x18FF97D2,数据帧,扩展帧,0x08,x| 04 14 0D 13 0D 12 0D FB 
500567,="11:17:38.024",0xB68764,ch1,接收,0x18FF99D2,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 F8 
500568,="11:17:38.024",0xB6876A,ch1,接收,0x18FF9CD2,数据帧,扩展帧,0x08,x| 0A 00 00 FF FF FF FF F5 
500569,="11:17:38.024",0xB6879C,ch1,接收,0x0C03A1A7,数据帧,扩展帧,0x08,x| 68 33 8E 26 C2 18 62 50 
500570,="11:17:38.024",0xB687B7,ch1,接收,0x0C04A1A7,数据帧,扩展帧,0x08,x| 83 03 5C 00 00 02 01 09 
500571,="11:17:38.024",0xB687C6,ch1,接收,0x0C05A1A7,数据帧,扩展帧,0x08,x| 09 10 4B 80 28 00 28 00 
